기간,평균,최소
2011.01,54,19
2011.02,55,15
2011.03,51,12
2011.04,54,10
2011.05,56,15
2011.06,67,19
2011.07,79,30
2011.08,74,30
2011.09,58,13
2011.10,55,15
2011.11,60,14
2011.12,50,15
2012.01,48.9,12
2012.02,43.2,11
2012.03,51.8,9
2012.04,54.1,9
2012.05,48.2,11
2012.06,54.1,21
2012.07,73.8,38
2012.08,68,31
2012.09,65.2,26
2012.10,58.2,14
2012.11,57.2,15
2012.12,57,17
2013.01,57.1,21
2013.02,53.6,15
2013.03,49.2,8
2013.04,54,12
2013.05,57.8,11
2013.06,60.1,15
2013.07,79.3,40
2013.08,69.3,28
2013.09,62.9,16
2013.10,59,19
2013.11,58,18
2013.12,60,20
2014.01,50,13
2014.02,52,16
2014.03,60,16
2014.04,60,15
2014.05,59,18
2014.06,73,32
2014.07,74,27
2014.08,77,32
2014.09,69,22
2014.10,63,15
2014.11,60.9,18
2014.12,56,21
2015.01,56,22
2015.02,59,17
2015.03,45,9
2015.04,55,11
2015.05,53,12
2015.06,60,13
2015.07,71,28
2015.08,70,29
2015.09,56,15
2015.10,61,17
2015.11,74,23
2015.12,60,19
2016.01,53,17
2016.02,52,16
2016.03,51,15
2016.04,55,13
2016.05,56,10
2016.06,63,21
2016.07,73,37
2016.08,64,27
2016.09,65,26
2016.10,62,13
2016.11,57,19
2016.12,59,16
2017.01,55,17
2017.02,54,18
2017.03,48,15
2017.04,52,10
2017.05,52,7
2017.06,57,14
2017.07,77,38
2017.08,71,19
2017.09,61,20
2017.10,56,16
2017.11,54,13
2017.12,56,14
2018.01,48,16
2018.02,45,13
2018.03,59,13
2018.04,55,8
2018.05,63,22
2018.06,63,19
2018.07,68,29
2018.08,65,25
2018.09,61,23
2018.10,59,16
2018.11,58,12
2018.12,46,16
2019.01,46,11
2019.02,47,15
2019.03,51,10
2019.04,51,10
2019.05,47,12
2019.06,61,22
2019.07,69,24
2019.08,69,28
2019.09,65,24
2019.10,62,23
2019.11,56,14
2019.12,58,17
2020.01,56,17
2020.02,58,14
2020.03,46,11
2020.04,50,10
2020.05,67,11
2020.06,68,26
2020.07,77,34
2020.08,85,49
2020.09,71,27
2020.10,61,20
2020.11,64,18
2020.12,58,24
