"		지점번호",지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),"	최고기온일자",평균최저기온(℃),최저기온(℃),최저기온일자
"		108",서울,Jun-11,22,26.6,32.9,2011-06-19,18.4,14.4,2011-06-03
"		108",서울,Jul-11,24.6,28,34.1,2011-07-18,22,18.9,2011-07-04
"		108",서울,Aug-11,25.8,29.5,34.1,2011-08-05,23,18.1,2011-08-23
"		108",서울,Jun-12,24.1,29.7,33.5,2012-06-19,20,16.3,2012-06-01
"		108",서울,Jul-12,25.4,29,33.2,2012-07-29,22.4,18.5,2012-07-07
"		108",서울,Aug-12,27.1,30.9,36.7,2012-08-05,23.9,18.7,2012-08-31
"		108",서울,Jun-13,24.4,29.2,32.6,2013-06-29,20.5,16.3,2013-06-02
"		108",서울,Jul-13,25.5,28.3,31.3,2013-07-01,23.4,20.5,2013-07-03
"		108",서울,Aug-13,27.7,31.1,33.9,2013-08-21,24.8,21.1,2013-08-31
"		108",서울,Jun-14,23.1,27.8,31.1,2014-06-06,19.7,17.3,2014-06-12
"		108",서울,Jul-14,26.1,30.6,34.4,2014-07-31,22.9,19.1,2014-07-24
"		108",서울,Aug-14,25.2,29,35.8,2014-08-02,22.1,18.3,2014-08-11
"		108",서울,Jun-15,23.6,29.5,34.9,2015-06-10,18.9,15.6,2015-06-21
"		108",서울,Jul-15,25.8,30,36,2015-07-11,22.6,18.2,2015-07-04
"		108",서울,Aug-15,26.3,30.8,34.4,2015-08-07,22.8,18.9,2015-08-26
"		108",서울,Jun-16,23.6,28.7,32.2,2016-06-05,19.5,17.1,2016-06-01
"		108",서울,Jul-16,26.2,29.8,34.1,2016-07-22,23.3,19.8,2016-07-16
"		108",서울,Aug-16,28,32.6,36.6,2016-08-21,24.5,16.1,2016-08-31
"		108",서울,Jun-17,23.3,28.8,34.1,2017-06-23,18.7,14.5,2017-06-06
"		108",서울,Jul-17,26.9,30.4,35.4,2017-07-25,24.3,21.9,2017-07-03
"		108",서울,Aug-17,25.9,29.7,35.3,2017-08-04,22.9,16.1,2017-08-30
"		108",서울,Jun-18,23.1,28.4,32.9,2018-06-25,18.9,16.3,2018-06-16
"		108",서울,Jul-18,27.8,32.1,38.3,2018-07-31,24.2,17.7,2018-07-08
"		108",서울,Aug-18,28.8,33.3,39.6,2018-08-01,25.2,20.2,2018-08-27
"		108",서울,Jun-19,22.5,27.7,32.8,2019-06-25,18.1,14.1,2019-06-02
"		108",서울,Jul-19,25.9,30.1,36.1,2019-07-06,22.7,19.3,2019-07-10
"		108",서울,Aug-19,27.2,31.6,36.8,2019-08-06,23.6,18.5,2019-08-31
"		108",서울,Jun-20,23.9,29,35.4,2020-06-22,19.9,14.8,2020-06-02
"		108",서울,Jul-20,24.1,28,32.9,2020-07-09,21.1,17.2,2020-07-14
"		108",서울,Aug-20,26.5,29.3,34.5,2020-08-26,24.4,21.5,2020-08-23
"		108",서울,Jun-21,22.8,27.6,31.6,2021-06-09,18.9,13.3,2021-06-04
"		108",서울,Jul-21,28.1,32.2,36.5,2021-07-24,24.6,19.6,2021-07-03
"		108",서울,Aug-21,25.9,29.7,33.7,2021-08-05,22.8,18.1,2021-08-31
"		",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"		",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
